<OPEN>,<HIGH>,<LOW>,<CLOSE>
79.1900000,80.0900000,75.4600000,75.8500000
75.1700000,77.4400000,73.5000000,75.1700000
74.7900000,76.9900000,73.5300000,73.8500000
70.9600000,72.7000000,69.5100000,70.3500000
73.6000000,75.1000000,71.1500000,75.0000000
74.2900000,82.3000000,74.1000000,81.9300000
82.6800000,84.7300000,79.4200000,80.8000000
79.8100000,80.5500000,76.9200000,77.4300000
75.3000000,77.4500000,74.8500000,76.0100000
76.9900000,78.2800000,75.7000000,77.1200000
75.4900000,75.8800000,73.4300000,73.6800000
74.0100000,75.3000000,69.2300000,69.9000000
70.5000000,71.7400000,67.1600000,69.3000000
70.9900000,71.7100000,69.1300000,69.9600000
67.3800000,67.6400000,63.8100000,64.3300000
66.1700000,69.3900000,65.6000000,69.1200000
69.3600000,71.7600000,68.1000000,70.6500000
71.2100000,72.0700000,69.8000000,70.2000000
70.2900000,71.4300000,69.9300000,71.0000000
70.4300000,71.6000000,68.0800000,70.7000000
69.5300000,71.2600000,68.9200000,70.9500000
72.9800000,73.2600000,72.0000000,72.0100000
72.2600000,73.5300000,69.5000000,70.2500000
67.6500000,71.7400000,67.4000000,71.1400000
71.9800000,72.4900000,70.1800000,70.9500000
71.7400000,72.5700000,70.6300000,71.9000000
72.0800000,73.3500000,70.7700000,73.2900000
73.7600000,73.8000000,71.3500000,72.1900000
72.6500000,76.0000000,72.2400000,76.0000000
77.0000000,77.4400000,75.3100000,76.7100000
76.4800000,79.7400000,76.1300000,78.5000000
78.8900000,80.3000000,77.4300000,80.3000000
82.0100000,84.5600000,81.8000000,84.0200000
83.0000000,83.9000000,81.0300000,82.4100000
81.5900000,83.0500000,80.5500000,80.8500000
81.7300000,82.0800000,79.9300000,80.2800000
80.0700000,80.3700000,77.7000000,78.0000000
78.5400000,80.7000000,78.2300000,80.1300000
79.0000000,79.0000000,76.4400000,77.5000000
77.1100000,78.4300000,76.0500000,76.5000000
75.1000000,75.5000000,71.7900000,71.9000000
73.1900000,73.9300000,71.5000000,72.9800000
73.0600000,73.7900000,72.7600000,73.3700000
74.1600000,76.7700000,74.0000000,76.7000000
75.6600000,77.5300000,74.0500000,77.4900000
78.9100000,79.4500000,77.1300000,77.1800000
78.2000000,78.5900000,76.0000000,77.6600000
77.0000000,80.2500000,76.9500000,79.8000000
79.3900000,82.7000000,79.1100000,82.4700000
83.0100000,83.4700000,81.6700000,82.0600000
82.2200000,84.2700000,80.5500000,80.7600000
81.1300000,81.7500000,78.4300000,79.0700000
78.6500000,80.8300000,78.5000000,80.5000000
81.1700000,81.7000000,78.6900000,79.8000000
80.7100000,82.2600000,80.3800000,81.9000000
80.9900000,84.0500000,80.8100000,83.9300000
84.0000000,84.2000000,82.3600000,83.0100000
84.1100000,84.7200000,83.1000000,84.1900000
84.2200000,85.7400000,83.5500000,84.6200000
84.9000000,85.6000000,83.8100000,84.2800000
84.5100000,86.7000000,84.2100000,86.5800000
85.8900000,86.1700000,83.1000000,84.5600000
85.4000000,86.8400000,85.3900000,86.5800000
86.8500000,86.9000000,85.4300000,85.8400000
85.4400000,86.7300000,84.6000000,85.8400000
85.9100000,86.1900000,83.9300000,84.3000000
84.7900000,84.9800000,82.4600000,82.8300000
83.5000000,84.2000000,83.0600000,83.6800000
83.1000000,83.2800000,81.6200000,82.8000000
81.9500000,82.2300000,80.5200000,80.9300000
80.2800000,81.6800000,79.8400000,80.9200000
82.0100000,82.2800000,79.9200000,80.7100000
81.1600000,81.3900000,79.0100000,79.9700000
80.4000000,81.4700000,79.8800000,81.2600000
81.1600000,81.2600000,79.8100000,80.6000000
81.1500000,81.7500000,79.3100000,79.4000000
79.3900000,79.9200000,78.0400000,78.3700000
78.4900000,78.9600000,77.2700000,77.9500000
77.4000000,77.4100000,75.2000000,75.4000000
75.2000000,76.4500000,73.5500000,73.9900000
74.9800000,76.7500000,74.5500000,76.6200000
76.0500000,77.3500000,75.2500000,77.0100000
78.0000000,78.1700000,77.1100000,77.3000000
76.0300000,78.4500000,75.7200000,78.3100000
78.5500000,80.5600000,77.6000000,80.4200000
80.4400000,81.2500000,79.9400000,80.6300000
80.7000000,82.3500000,80.2700000,81.7200000
82.1100000,82.4000000,81.5600000,81.7400000
81.3900000,81.4000000,79.7700000,79.9500000
79.6600000,82.3100000,79.4200000,82.1800000
82.0500000,84.5000000,81.9900000,83.6600000
83.3700000,84.1900000,82.7300000,83.3600000
84.5500000,85.1600000,84.4500000,84.5900000
84.2500000,85.8600000,84.0000000,84.5000000
84.2300000,84.6700000,83.3700000,84.4500000
84.0000000,84.8000000,82.8300000,83.0000000
83.7200000,84.1000000,82.0500000,82.1500000
82.5000000,83.4300000,81.6500000,83.3700000
83.5100000,84.3200000,83.1400000,83.8400000
83.8700000,83.8900000,82.5000000,82.7300000
82.8500000,84.3700000,82.6600000,84.3000000
83.8900000,85.0000000,83.6200000,84.8100000
85.2600000,85.4400000,83.4100000,83.6600000
83.2600000,83.9500000,82.5400000,83.0600000
83.4600000,84.6200000,83.2700000,83.9000000
83.6900000,86.1500000,83.6100000,86.0800000
85.9400000,89.9200000,85.7200000,89.0900000
89.3000000,90.7700000,88.9500000,89.8800000
89.8000000,92.0500000,89.4200000,91.9700000
92.5200000,92.9900000,90.7100000,91.2000000
91.4100000,91.7200000,90.0900000,90.4000000
90.2200000,90.5700000,89.1500000,90.5000000
90.9800000,91.8000000,90.9100000,91.7400000
90.8900000,91.3800000,90.0700000,90.9000000
91.6200000,92.5400000,90.7300000,91.3000000
91.8000000,92.4700000,90.9400000,91.4700000
91.2100000,92.5300000,90.5400000,92.5300000
92.0000000,95.1000000,91.7400000,94.9600000
95.0800000,97.3500000,94.9100000,95.3700000
94.9600000,97.8200000,94.6500000,97.7000000
97.8700000,103.5000000,97.4500000,103.3100000
103.4000000,104.4400000,101.3000000,101.9000000
103.5000000,104.2000000,102.2200000,102.3000000
102.0000000,102.3400000,99.7900000,101.4200000
101.2000000,101.4400000,99.6700000,99.7200000
100.4000000,101.0900000,99.1600000,99.3500000
99.0700000,101.8700000,98.3500000,101.3600000
102.3400000,103.0600000,101.6100000,101.8500000
102.1000000,103.3500000,101.7300000,102.3500000
102.5900000,103.7500000,102.3800000,103.3000000
105.5800000,106.4700000,103.7600000,103.9500000
103.7500000,105.0800000,103.0700000,103.5900000
102.9700000,103.5700000,100.2000000,100.4400000
101.3800000,101.4400000,97.5300000,98.4000000
97.1100000,98.4300000,95.8600000,97.9400000
97.3600000,97.8700000,97.0500000,97.8000000
98.1500000,99.5100000,97.5200000,99.2000000
98.2300000,98.3300000,95.0200000,95.2600000
94.8000000,97.5500000,94.7700000,97.2000000
98.2100000,99.7100000,97.9600000,99.6600000
99.7600000,99.9300000,97.7700000,98.7000000
99.7300000,100.7100000,98.9000000,99.1500000
98.3100000,99.3400000,97.3500000,98.5000000
98.9500000,101.5500000,97.6700000,101.3100000
101.4100000,103.1000000,100.7800000,102.6000000
102.0000000,102.3900000,99.9500000,101.3600000
102.2600000,103.0100000,100.3800000,100.7100000
101.0100000,101.9500000,99.6200000,101.5100000
102.1200000,103.7700000,101.6600000,103.3400000
103.9900000,104.3100000,101.6000000,103.6400000
103.7500000,104.0000000,102.0800000,103.0300000
103.4200000,105.9300000,102.9500000,105.5600000
106.0100000,108.3000000,105.7300000,107.3700000
106.5500000,108.9000000,104.6500000,104.6700000
106.0100000,106.2600000,104.5000000,104.6300000
104.8700000,105.5900000,103.9500000,104.9200000
105.8000000,107.9900000,105.4800000,107.4500000
107.1700000,108.1000000,106.3100000,107.2500000
106.9900000,108.2500000,105.9400000,107.7000000
107.0000000,107.9600000,106.0000000,106.3000000
106.8100000,107.1700000,105.4400000,105.7000000
105.4900000,106.4000000,105.1100000,105.6000000
106.1700000,106.8400000,105.7100000,106.8000000
106.9500000,107.6400000,106.6600000,106.7800000
107.0100000,107.2500000,106.5200000,106.9900000
107.0700000,107.2000000,106.0200000,106.2300000
106.2500000,106.3900000,105.0100000,105.1200000
105.3600000,105.6000000,104.3700000,104.4700000
104.8300000,105.0600000,103.2500000,104.3500000
104.3800000,104.6800000,103.5000000,104.1800000
104.9900000,105.3000000,102.5000000,103.7800000
104.4100000,107.1500000,103.8700000,107.0800000
107.3400000,108.8700000,106.0400000,107.5400000
107.1400000,108.1300000,106.5400000,107.2100000
107.3200000,109.8800000,107.1500000,109.5700000
109.5900000,110.9500000,107.8000000,108.0800000
108.9000000,109.1800000,107.3700000,107.6600000
106.8600000,106.9500000,105.1500000,105.2100000
105.5100000,106.2500000,104.2700000,105.6100000
106.0200000,106.0200000,102.6100000,104.0500000
104.4100000,106.6300000,104.4000000,105.9800000
106.5500000,108.6500000,106.4000000,108.6000000
108.9900000,109.9200000,107.1600000,107.7400000
107.3600000,108.4400000,106.1700000,106.3800000
105.7900000,106.1400000,104.0600000,105.9000000
106.4500000,107.0700000,105.1700000,106.4000000
107.0100000,107.3500000,103.5300000,104.3000000
104.4500000,105.2500000,102.8200000,103.8800000
104.3600000,104.7800000,102.3800000,102.8000000
103.3600000,103.5600000,101.2500000,103.1800000
103.1000000,103.8600000,100.5100000,101.4200000
101.6100000,102.2300000,99.2500000,99.8600000
99.8000000,99.8400000,96.2600000,96.3000000
96.4300000,101.6400000,96.2000000,101.0400000
102.0000000,103.0900000,100.8300000,101.2900000
101.4800000,102.9200000,99.3200000,99.5100000
100.0000000,101.8500000,98.6500000,100.6000000
101.6500000,102.8500000,100.1500000,100.9000000
101.2000000,101.8900000,99.9000000,100.8200000
100.8500000,102.0000000,99.8200000,100.4900000
99.5000000,99.5000000,97.2400000,98.5100000
97.2500000,98.1400000,95.5000000,97.2000000
98.1900000,100.3900000,97.5400000,100.3400000
100.8300000,102.4700000,99.8700000,102.1000000
102.5100000,103.0000000,99.6200000,99.8900000
98.9900000,99.8700000,97.8500000,99.5000000
100.2100000,102.3500000,100.0500000,101.9900000
102.4300000,102.5900000,99.8200000,100.3300000
100.4600000,101.7800000,100.0300000,101.5500000
101.8500000,103.4800000,101.4300000,102.9100000
101.9900000,102.5600000,99.4200000,99.7700000
98.9900000,100.1600000,97.2500000,98.7500000
97.9600000,99.8000000,96.8500000,97.1000000
95.2500000,95.7100000,93.7100000,95.0000000
96.0300000,97.1700000,93.9100000,94.4700000
94.9900000,98.3000000,94.6600000,98.1900000
99.0000000,100.3000000,97.7900000,100.1600000
100.9200000,101.5600000,99.5200000,100.5400000
100.7000000,101.5000000,99.7600000,100.3000000
99.9700000,101.2200000,99.5000000,101.1000000
